Original Column,Source Dataset,Source File,Data Type,Mapped Classification,Mapped Entity / Relationship,Description
conn_state,Processed_Network_dataset,Network_dataset_13.csv,str,Graph Entity,Event,Serves as primary node representation for Event
missed_bytes,Processed_Network_dataset,Network_dataset_13.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_pkts,Processed_Network_dataset,Network_dataset_13.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip_bytes,Processed_Network_dataset,Network_dataset_13.csv,int64,Graph Entity,Source IP,Serves as primary node representation for Source IP
dst_pkts,Processed_Network_dataset,Network_dataset_13.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dst_ip_bytes,Processed_Network_dataset,Network_dataset_13.csv,int64,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dns_query,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_qclass,Processed_Network_dataset,Network_dataset_13.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_qtype,Processed_Network_dataset,Network_dataset_13.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_rcode,Processed_Network_dataset,Network_dataset_13.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_AA,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RD,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RA,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_rejected,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_version,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_cipher,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_resumed,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_established,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_subject,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_issuer,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_trans_depth,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_method,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_uri,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_referrer,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_version,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_request_body_len,Processed_Network_dataset,Network_dataset_13.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_response_body_len,Processed_Network_dataset,Network_dataset_13.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_status_code,Processed_Network_dataset,Network_dataset_13.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
http_user_agent,Processed_Network_dataset,Network_dataset_13.csv,str,Graph Entity,User,Serves as primary node representation for User
http_orig_mime_types,Processed_Network_dataset,Network_dataset_13.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
http_resp_mime_types,Processed_Network_dataset,Network_dataset_13.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
weird_name,Processed_Network_dataset,Network_dataset_13.csv,str,Graph Entity,Event,Serves as primary node representation for Event
weird_addl,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
weird_notice,Processed_Network_dataset,Network_dataset_13.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
label,Processed_Network_dataset,Network_dataset_13.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Network_dataset,Network_dataset_13.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Network_dataset,Network_dataset_14.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip,Processed_Network_dataset,Network_dataset_14.csv,str,Graph Entity,Source IP,Serves as primary node representation for Source IP
src_port,Processed_Network_dataset,Network_dataset_14.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
dst_ip,Processed_Network_dataset,Network_dataset_14.csv,str,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dst_port,Processed_Network_dataset,Network_dataset_14.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
proto,Processed_Network_dataset,Network_dataset_14.csv,str,Graph Entity,Protocol,Serves as primary node representation for Protocol
service,Processed_Network_dataset,Network_dataset_14.csv,str,Graph Entity,Service,Serves as primary node representation for Service
duration,Processed_Network_dataset,Network_dataset_14.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_bytes,Processed_Network_dataset,Network_dataset_14.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
dst_bytes,Processed_Network_dataset,Network_dataset_14.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
conn_state,Processed_Network_dataset,Network_dataset_14.csv,str,Graph Entity,Event,Serves as primary node representation for Event
missed_bytes,Processed_Network_dataset,Network_dataset_14.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_pkts,Processed_Network_dataset,Network_dataset_14.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip_bytes,Processed_Network_dataset,Network_dataset_14.csv,int64,Graph Entity,Source IP,Serves as primary node representation for Source IP
dst_pkts,Processed_Network_dataset,Network_dataset_14.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dst_ip_bytes,Processed_Network_dataset,Network_dataset_14.csv,int64,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dns_query,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_qclass,Processed_Network_dataset,Network_dataset_14.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_qtype,Processed_Network_dataset,Network_dataset_14.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_rcode,Processed_Network_dataset,Network_dataset_14.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_AA,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RD,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RA,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_rejected,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_version,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_cipher,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_resumed,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_established,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_subject,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_issuer,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_trans_depth,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_method,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_uri,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_referrer,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_version,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_request_body_len,Processed_Network_dataset,Network_dataset_14.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_response_body_len,Processed_Network_dataset,Network_dataset_14.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_status_code,Processed_Network_dataset,Network_dataset_14.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
http_user_agent,Processed_Network_dataset,Network_dataset_14.csv,str,Graph Entity,User,Serves as primary node representation for User
http_orig_mime_types,Processed_Network_dataset,Network_dataset_14.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
http_resp_mime_types,Processed_Network_dataset,Network_dataset_14.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
weird_name,Processed_Network_dataset,Network_dataset_14.csv,str,Graph Entity,Event,Serves as primary node representation for Event
weird_addl,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
weird_notice,Processed_Network_dataset,Network_dataset_14.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
label,Processed_Network_dataset,Network_dataset_14.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Network_dataset,Network_dataset_14.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Network_dataset,Network_dataset_15.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip,Processed_Network_dataset,Network_dataset_15.csv,str,Graph Entity,Source IP,Serves as primary node representation for Source IP
src_port,Processed_Network_dataset,Network_dataset_15.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
dst_ip,Processed_Network_dataset,Network_dataset_15.csv,str,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dst_port,Processed_Network_dataset,Network_dataset_15.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
proto,Processed_Network_dataset,Network_dataset_15.csv,str,Graph Entity,Protocol,Serves as primary node representation for Protocol
service,Processed_Network_dataset,Network_dataset_15.csv,str,Graph Entity,Service,Serves as primary node representation for Service
duration,Processed_Network_dataset,Network_dataset_15.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_bytes,Processed_Network_dataset,Network_dataset_15.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
dst_bytes,Processed_Network_dataset,Network_dataset_15.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
conn_state,Processed_Network_dataset,Network_dataset_15.csv,str,Graph Entity,Event,Serves as primary node representation for Event
missed_bytes,Processed_Network_dataset,Network_dataset_15.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_pkts,Processed_Network_dataset,Network_dataset_15.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip_bytes,Processed_Network_dataset,Network_dataset_15.csv,int64,Graph Entity,Source IP,Serves as primary node representation for Source IP
dst_pkts,Processed_Network_dataset,Network_dataset_15.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dst_ip_bytes,Processed_Network_dataset,Network_dataset_15.csv,int64,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dns_query,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_qclass,Processed_Network_dataset,Network_dataset_15.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_qtype,Processed_Network_dataset,Network_dataset_15.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_rcode,Processed_Network_dataset,Network_dataset_15.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_AA,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RD,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RA,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_rejected,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_version,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_cipher,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_resumed,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_established,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_subject,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_issuer,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_trans_depth,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_method,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_uri,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_referrer,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_version,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_request_body_len,Processed_Network_dataset,Network_dataset_15.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_response_body_len,Processed_Network_dataset,Network_dataset_15.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_status_code,Processed_Network_dataset,Network_dataset_15.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
http_user_agent,Processed_Network_dataset,Network_dataset_15.csv,str,Graph Entity,User,Serves as primary node representation for User
http_orig_mime_types,Processed_Network_dataset,Network_dataset_15.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
http_resp_mime_types,Processed_Network_dataset,Network_dataset_15.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
weird_name,Processed_Network_dataset,Network_dataset_15.csv,str,Graph Entity,Event,Serves as primary node representation for Event
weird_addl,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
weird_notice,Processed_Network_dataset,Network_dataset_15.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
label,Processed_Network_dataset,Network_dataset_15.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Network_dataset,Network_dataset_15.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Network_dataset,Network_dataset_16.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip,Processed_Network_dataset,Network_dataset_16.csv,str,Graph Entity,Source IP,Serves as primary node representation for Source IP
src_port,Processed_Network_dataset,Network_dataset_16.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
dst_ip,Processed_Network_dataset,Network_dataset_16.csv,str,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dst_port,Processed_Network_dataset,Network_dataset_16.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
proto,Processed_Network_dataset,Network_dataset_16.csv,str,Graph Entity,Protocol,Serves as primary node representation for Protocol
service,Processed_Network_dataset,Network_dataset_16.csv,str,Graph Entity,Service,Serves as primary node representation for Service
duration,Processed_Network_dataset,Network_dataset_16.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_bytes,Processed_Network_dataset,Network_dataset_16.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
dst_bytes,Processed_Network_dataset,Network_dataset_16.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
conn_state,Processed_Network_dataset,Network_dataset_16.csv,str,Graph Entity,Event,Serves as primary node representation for Event
missed_bytes,Processed_Network_dataset,Network_dataset_16.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_pkts,Processed_Network_dataset,Network_dataset_16.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip_bytes,Processed_Network_dataset,Network_dataset_16.csv,int64,Graph Entity,Source IP,Serves as primary node representation for Source IP
dst_pkts,Processed_Network_dataset,Network_dataset_16.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dst_ip_bytes,Processed_Network_dataset,Network_dataset_16.csv,int64,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dns_query,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_qclass,Processed_Network_dataset,Network_dataset_16.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_qtype,Processed_Network_dataset,Network_dataset_16.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_rcode,Processed_Network_dataset,Network_dataset_16.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_AA,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RD,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RA,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_rejected,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_version,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_cipher,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_resumed,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_established,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_subject,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_issuer,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_trans_depth,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_method,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_uri,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_referrer,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_version,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_request_body_len,Processed_Network_dataset,Network_dataset_16.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_response_body_len,Processed_Network_dataset,Network_dataset_16.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_status_code,Processed_Network_dataset,Network_dataset_16.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
http_user_agent,Processed_Network_dataset,Network_dataset_16.csv,str,Graph Entity,User,Serves as primary node representation for User
http_orig_mime_types,Processed_Network_dataset,Network_dataset_16.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
http_resp_mime_types,Processed_Network_dataset,Network_dataset_16.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
weird_name,Processed_Network_dataset,Network_dataset_16.csv,str,Graph Entity,Event,Serves as primary node representation for Event
weird_addl,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
weird_notice,Processed_Network_dataset,Network_dataset_16.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
label,Processed_Network_dataset,Network_dataset_16.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Network_dataset,Network_dataset_16.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Network_dataset,Network_dataset_17.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip,Processed_Network_dataset,Network_dataset_17.csv,str,Graph Entity,Source IP,Serves as primary node representation for Source IP
src_port,Processed_Network_dataset,Network_dataset_17.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
dst_ip,Processed_Network_dataset,Network_dataset_17.csv,str,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dst_port,Processed_Network_dataset,Network_dataset_17.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
proto,Processed_Network_dataset,Network_dataset_17.csv,str,Graph Entity,Protocol,Serves as primary node representation for Protocol
service,Processed_Network_dataset,Network_dataset_17.csv,str,Graph Entity,Service,Serves as primary node representation for Service
duration,Processed_Network_dataset,Network_dataset_17.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_bytes,Processed_Network_dataset,Network_dataset_17.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
dst_bytes,Processed_Network_dataset,Network_dataset_17.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
conn_state,Processed_Network_dataset,Network_dataset_17.csv,str,Graph Entity,Event,Serves as primary node representation for Event
missed_bytes,Processed_Network_dataset,Network_dataset_17.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_pkts,Processed_Network_dataset,Network_dataset_17.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip_bytes,Processed_Network_dataset,Network_dataset_17.csv,int64,Graph Entity,Source IP,Serves as primary node representation for Source IP
dst_pkts,Processed_Network_dataset,Network_dataset_17.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dst_ip_bytes,Processed_Network_dataset,Network_dataset_17.csv,int64,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dns_query,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_qclass,Processed_Network_dataset,Network_dataset_17.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_qtype,Processed_Network_dataset,Network_dataset_17.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_rcode,Processed_Network_dataset,Network_dataset_17.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_AA,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RD,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RA,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_rejected,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_version,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_cipher,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_resumed,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_established,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_subject,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_issuer,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_trans_depth,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_method,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_uri,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_referrer,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_version,Processed_Network_dataset,Network_dataset_17.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_request_body_len,Processed_Network_dataset,Network_dataset_17.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_response_body_len,Processed_Network_dataset,Network_dataset_17.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
